ExhaustiveStarScheduler, TercioScheduler, 
6, 40.65000295443076, 40.65000295443076, 
6, 50.8537798052204, 42.370318071511306, 
6, 42.30707673834999, 42.065985010599015, 
6, 48.432055418904156, 48.432055418904156, 
6, 50.67079081297938, 50.46936644887142, 
6, 41.42179084614199, 41.42179084614199, 
6, 41.67193573275027, 34.50476700399902, 
6, 35.12330732245495, 35.12330732245495, 
6, 35.41840302058709, 35.41840302058709, 
6, 50.99086101885144, 47.36635552441661, 
6, 41.92176034813612, 41.48946706899311, 
6, 41.06599095600158, 41.06599095600158, 
6, 38.79755138178927, 38.79755138178927, 
6, 46.03628223142316, 46.03628223142316, 
6, 42.11752704620075, 41.22610715012768, 
6, 52.29747185716553, 52.29747185716553, 
6, 41.57442589512164, 41.57442589512164, 
6, 52.6487812070629, 52.6487812070629, 
6, 59.714266622766075, 59.714266622766075, 
6, 52.669961770605866, 52.669961770605866, 
6, 42.43242758755508, 42.43242758755508, 
6, 41.53719662314254, 41.53719662314254, 
6, 41.982554607080644, 41.982554607080644, 
6, 43.327294904970785, 43.327294904970785, 
6, 41.389823687308805, 40.35441258609758, 
6, 43.97940376675154, 43.76546641853826, 
6, 46.783001565331844, 46.783001565331844, 
6, 42.10832175026495, 41.514910385247575, 
6, 40.94085119829799, 40.686554343526836, 
6, 33.32459720520981, 33.32459720520981, 
6, 35.102926742483305, 35.102926742483305, 
6, 41.21004592899976, 41.21004592899976, 
6, 37.04592916055386, 35.8260481796369, 
6, 39.62412528100969, 37.359706777704794, 
6, 40.479560645415944, 37.33439114674469, 
6, 33.02033241326566, 33.02033241326566, 
6, 40.9652478515376, 40.9652478515376, 
6, 42.40614831560677, 42.40614831560677, 
6, 41.902261505505514, 41.901475209148764, 
6, 43.07661452033179, 43.07661452033179, 
6, 36.07201747008714, 36.07201747008714, 
6, 40.54637182816797, 38.03198943425737, 
6, 41.63199089480533, 41.63199089480533, 
6, 36.56293571022261, 35.5014953854896, 
6, 42.717951365591674, 42.717951365591674, 
6, 43.11701193792685, 42.37990424897621, 
6, 32.91050869902635, 32.91050869902635, 
6, 41.94713979546404, 41.94713979546404, 
6, 42.69812363662935, 42.69812363662935, 
6, 42.40336529886041, 42.40336529886041, 
6, 53.12311721889629, 53.12311721889629, 
6, 51.63169938199085, 51.63169938199085, 
6, 42.61566297518973, 41.31210629132946, 
6, 41.136559689291204, 40.70263785790182, 
6, 44.50077149288708, 43.08667798931753, 
6, 49.47006730970862, 41.855903998062594, 
6, 44.48355279122325, 44.48355279122325, 
6, 52.2071442182708, 52.2071442182708, 
6, 37.22583558626774, 37.22583558626774, 
6, 47.67581257080711, 42.630124430491506, 
6, 41.63002421459062, 41.63002421459062, 
6, 52.20345549675935, 52.20345549675935, 
6, 43.40858140109259, 41.279029569132334, 
6, 44.04751398351514, 42.17131332897235, 
6, 40.61783440654302, 40.617834406543025, 
6, 41.13857127089318, 41.13857127089318, 
6, 42.32680805553759, 42.32680805553759, 
6, 40.49230636502895, 40.49230636502895, 
6, 41.53352424257155, 41.06444314617914, 
6, 41.281567946768384, 41.281567946768384, 
6, 42.6286860544178, 42.6286860544178, 
6, 44.30354956442959, 44.30354956442959, 
6, 38.05273987696443, 33.345504040214124, 
6, 42.36745909980425, 42.36745909980425, 
6, 35.499272489271995, 35.499272489271995, 
6, 42.41342121872371, 42.41342121872371, 
6, 52.81258573847805, 52.81258573847805, 
6, 44.010010524315476, 42.76876682751352, 
6, 42.002974770777094, 42.002974770777094, 
6, 41.63808073445051, 41.63808073445051, 
6, 39.76167435026074, 34.67987864311425, 
6, 41.164122504614944, 41.02141372996462, 
6, 41.81001709640356, 41.73409467902293, 
6, 52.16264029732349, 52.16264029732349, 
6, 46.26328340556445, 41.30588924304621, 
